Name,Gender,Birth Date,Income
Mike Neal,Male,2005-10-16,64220.22
Eric Bryant,Male,1942-09-30,72492.75
Amber Glover,Female,1976-02-23,61429.94
Timothy Terrell Jr.,Male,2000-10-16,86602.69
Jacqueline Humphrey,Female,2006-07-05,74665.46
Renee Gomez,Female,2009-09-17,86498.04
Regina Robinson,Female,2016-10-20,50525.61
Amy Hill,Female,1999-04-11,61645.63
Kaitlyn Wilcox,Female,1950-08-12,75546.96
Terry Thomas,Male,2006-01-28,97579.21
Ashley Miller,Female,1956-07-31,88749.43
Amy Johnson,Female,1977-06-09,41406.03
Amber Jimenez,Female,1998-02-04,31955.33
Dr. Carol Peterson,Female,1947-11-12,44780.48
Amber Daniels,Female,1992-01-19,20192.46
Calvin Cole,Male,1951-04-30,71398.26
Brian White,Male,1961-02-05,48489.16
Tyler Brown,Male,2015-12-05,74020.64
Lisa Schultz,Female,1991-11-01,66441.57
Clayton Collins,Male,2007-05-03,51396.19
Brenda Thomas,Female,1935-04-10,31865.71
Mike Williams,Male,1986-12-12,70235.66
Jessica Roberts,Female,1994-01-08,57298.23
Bobby Kennedy,Male,2014-09-05,36186.48
Juan Simon,Male,1981-02-17,76379.03
Morgan Perez,Female,1987-05-29,58526.51
Dr. Mark Bright,Male,1960-11-06,68946.84
David Stokes,Male,1973-06-08,81989.18
Chad Zuniga,Male,1934-04-28,73166.6
Kevin Gray,Male,1946-09-28,76463.9
Rodney Proctor,Male,1937-12-11,51043.72
Donna Lyons,Female,2000-08-08,53270.84
Brian Bishop,Male,2010-06-25,36104.89
Jeremy Herring,Male,2002-10-14,53485.28
Cheryl Rivera,Female,2001-12-28,29344.43
Jorge Lyons,Male,1953-11-29,74873.58
Rebecca Price,Female,2023-07-23,77278.39
Travis Fox,Male,1998-09-19,54978.41
Ronald Norton,Male,1981-04-26,59353.05
Matthew Bauer,Male,1961-06-17,65168.81
Robert Rowland,Male,2022-03-05,73439.52
Samantha Wong,Female,2016-12-15,24204.34
Jason Hawkins,Male,1994-10-22,106992.17
Jeffrey Clark,Male,2009-01-31,68016.06
Dana Bray,Female,1998-10-23,63452.61
Emma Hernandez,Female,2004-11-09,52088.15
Adam Cooper,Male,1975-12-15,29686.55
Jacob Smith,Male,2009-07-31,66291.89
Heather Castillo,Female,1985-02-02,43274.16
Andrea Roberts,Female,1996-03-17,60413.68
Toni Jackson,Female,1991-05-16,62761.87
Mark Cohen,Male,2014-07-12,67881.86
Gregory Valdez,Male,2010-12-07,55672.97
Michael Sanford,Male,2000-01-06,42373.42
Michelle Adams,Female,1955-06-28,58178.49
William Larson,Male,1963-01-27,33612.22
Kimberly Powers,Female,1979-09-09,62426.23
Joshua Hernandez,Male,2022-04-29,40251.53
Larry Hart,Male,2011-04-13,31559.86
Hannah Walls,Female,1935-07-22,64698.68
Adriana Eaton,Female,1952-10-19,67225.29
John Smith,Male,1974-11-01,65394.94
Michael Smith,Male,1938-08-30,46903.49
Barry Moon,Male,1936-01-24,60916.5
Bridget Cruz,Female,1994-04-10,66723.1
Joseph Fleming,Male,1950-11-09,43419.35
Alexandra Lloyd,Female,2021-08-08,56811.52
Angela Thomas,Female,1940-11-13,69264.25
Sabrina Collier,Female,1967-03-13,68302.03
Albert Howard,Male,2001-04-15,52830.21
Christopher Yang,Male,1959-11-18,75736.17
Mark Glenn,Male,1951-05-19,47784.35
Timothy Moreno,Male,2010-06-18,63277.61
Lisa Munoz,Female,1936-01-19,72410.05
Wesley Baker,Male,1968-10-06,79443.95
John Lowe,Male,1965-06-22,75186.38
Carla Walker,Female,1976-01-16,55106.36
Heather Moss,Female,1977-05-03,58718.88
Jeffrey Hall,Male,1966-06-24,55465.86
Mckenzie Williams,Female,1949-01-16,60294.26
Rodney Palmer,Male,1992-10-30,74294.27
Eric Ashley,Male,2001-03-11,62980.15
Cristian Campos,Male,1988-12-07,57155.34
Brian Jones,Male,1988-07-17,56273.06
Jacob Smith,Male,1982-07-12,75677.78
Tiffany Ball,Female,1942-05-08,41792.03
Caleb Jackson,Male,1951-09-25,62509.25
John Page,Male,1959-03-19,89948.21
William Taylor,Male,1936-01-14,62731.4
Erica Mcguire,Female,1947-10-26,58389.45
Mark Dawson,Male,1957-05-29,40063.18
Gabriel Dudley,Male,1953-12-10,93275.15
Jennifer Munoz,Female,1985-07-13,61711.94
Ronald Long,Male,1990-01-22,61943.33
Kimberly Mayo,Female,2008-11-15,68454.34
Kelly Pugh,Female,1945-01-11,40323.01
Scott Hall,Male,1956-09-07,30565.51
Kelly Mendoza,Female,1991-03-30,60665.29
Jocelyn Ford,Female,1990-12-02,59895.37
Tammy Rhodes,Female,1949-07-10,55915.69
Jerry Ramos,Male,2002-02-02,39671.42
William Estrada,Male,2013-12-08,62408.22
Travis Baxter,Male,1962-08-23,73832.49
Ashlee Moore,Female,1971-12-04,47272.46
Ryan Gray,Male,2022-12-08,76393.73
Cynthia Vargas,Female,1973-11-17,38302.28
Carol Price,Female,1944-07-19,44580.65
Michael Austin,Male,1981-09-24,64811.55
Kathleen Rivera,Female,1974-06-27,75757.07
Pamela Wright,Female,1944-04-27,79130.21
Curtis Wagner,Male,1939-07-08,70309.65
Mark Logan,Male,1973-11-17,75861.43
Ronald Navarro,Male,2011-03-13,85649.03
Elizabeth Jones,Female,1983-10-28,85232.18
Dean Sanchez,Male,1963-06-05,45545.9
Jennifer Baldwin,Female,2004-08-05,78259.3
Rachel Schmidt,Female,1940-07-23,44294.18
Kurt Schneider,Male,1943-02-08,81202.79
Aaron Thompson,Male,1955-07-22,53847.25
Bridget Johnson,Female,1970-09-17,43401.99
Denise Taylor,Female,2005-10-05,56099.59
Ashley Hughes,Female,1999-04-13,45771.93
Stephanie Murray,Female,1961-06-10,53053.76
Elizabeth Mcgee,Female,2015-10-22,73066.39
Andrew Holmes,Male,1996-04-17,31357.63
Kristi Barber,Female,1986-03-15,71187.83
Christina Gordon,Female,2005-11-02,52274.92
Kathryn Mahoney,Female,1941-08-20,21897.41
Joseph Bonilla,Male,2006-09-12,73069.05
Tony Glenn,Male,1954-08-02,41175.24
Andrew Mills,Male,1972-12-04,49360.54
Robyn Nelson,Female,1974-07-02,53938.7
Suzanne Roberson,Female,1982-04-15,48884.98
Jessica Mcmahon,Female,1961-02-12,48103.13
Leslie Young,Female,2002-07-12,56923.03
Laura Ray,Female,1981-01-18,74401.22
Cynthia Bennett,Female,1935-02-23,66108.36
Charles Cummings,Male,1946-04-30,97484.05
Sharon Freeman,Female,1959-02-06,51661.68
Daniel Bush,Male,1940-12-15,58366.39
Sarah Scott,Female,1967-06-07,33401.66
Brian Torres,Male,1942-11-04,57250.29
Steve Hale,Male,1943-11-12,80199.45
Mary Watson,Female,2022-06-19,79815.87
Adam Arnold,Male,1961-12-07,80106.15
Tanner Bennett,Male,1972-10-17,57308.74
Kathleen Solomon,Female,1957-07-25,42558.5
Julia Hall,Female,1950-11-22,42701.11
Stephen Dean,Male,1979-07-29,63354.52
Amanda Woods,Female,1939-12-21,71925.48
Vanessa Hill,Female,2008-09-12,68022.43
Donna Bishop,Female,1948-08-05,66389.69
Robert Smith,Male,2008-12-13,50194.49
Linda Miller,Female,2018-10-18,54495.71
Christine Kennedy,Female,2009-08-06,75798.07
Daniel Mullen,Male,2001-08-17,66925.77
Gregory Henderson,Male,1944-05-10,46072.22
Nancy Williams MD,Female,2004-01-26,37607.78
Marissa Alvarez,Female,1945-08-08,80214.89
Bobby Davis,Male,1953-03-19,55656.37
Edward Allison,Male,1961-11-02,39843.81
Mr. Matthew Monroe MD,Male,1946-08-15,30695.27
Kevin Cook,Male,1959-10-16,60999.32
Laura Waller,Female,1977-05-21,63454.14
Robert Casey,Male,1992-02-21,77200.06
Eric Terry,Male,1938-04-13,56660.26
Tami Escobar,Female,2008-11-25,38993.09
Jessica Lam,Female,2021-09-27,42286.74
Evelyn Cummings,Female,1986-02-01,44885.72
Jane Cordova,Female,2011-10-16,49473.98
Jonathan Garcia,Male,1982-06-02,66513.32
Richard Holder,Male,2018-03-02,53007.32
Gabriel Pearson,Male,1996-04-07,48300.77
Tonya Lamb,Female,2002-02-16,63304.41
Karla Walker,Female,1936-07-10,23639.51
Thomas Jacobs,Male,2005-01-19,85181.37
Kenneth Bond,Male,1976-11-12,49299.71
Carl Sanchez,Male,1935-05-16,68519.5
Dwayne Silva IV,Male,1950-01-14,28068.58
Charlotte Odom,Female,1966-04-05,48414.0
Edwin Jones,Male,2014-01-08,57999.87
Ashley Hurley,Female,2002-02-24,85744.19
Stephanie Smith,Female,2010-02-19,55395.44
Jennifer Murphy,Female,1952-09-24,42642.29
Derrick Sherman,Male,2000-04-25,61774.89
Joseph Patel,Male,2019-12-09,71070.01
Hannah Suarez,Female,1975-06-10,68269.78
Dr. Connor Jones,Male,1955-03-01,46172.33
Valerie Ramirez,Female,2020-10-10,56861.65
Jacob Mills,Male,1941-08-04,30513.97
Brian Case,Male,2017-02-14,54887.6
Marcus Olsen,Male,1954-06-12,77764.95
Jennifer Porter,Female,1948-04-11,53017.55
Mrs. Kaitlyn Flores,Female,2005-10-21,64766.24
Jackson Byrd,Male,1980-07-21,85400.35
Lucas Taylor,Male,1947-12-01,38677.02
Jessica Ramirez,Female,1965-04-17,58032.82
Zachary Parker,Male,2018-03-11,70113.75
Gerald Burke,Male,2005-10-27,76064.2
Joyce Cooper,Female,1941-10-30,72603.36
David Richardson,Male,2006-06-17,51105.55
Andrew Meadows,Male,1989-01-09,79317.08
Christine Parker,Female,1935-06-21,37837.94
Stephanie Howe,Female,1986-12-05,35267.21
Janet Rose,Female,1990-08-11,60559.0
John Porter,Male,1968-08-23,65607.58
John Griffith,Male,2010-06-04,52100.56
Ashlee Gibson,Female,1998-05-02,67788.45
Eric Hunt,Male,1977-12-01,47449.37
Bradley Valdez,Male,1997-05-26,56779.42
Rick Calhoun,Male,1995-03-24,87096.44
Erin Watson,Female,2010-04-29,50748.33
Becky Richards,Female,2003-08-29,58840.09
William Sanders,Male,1964-04-20,44354.7
Cynthia Stewart,Female,1963-12-27,38251.7
Janet Diaz,Female,2019-07-24,93087.13
Kevin Morales,Male,1991-11-12,53915.21
Danny Cunningham,Male,1948-11-19,34966.97
Thomas Pearson,Male,1935-01-09,68163.46
Miss Lori Cohen,Female,2013-08-16,97103.1
Holly Jones,Female,2002-06-05,48328.23
Karen Bruce,Female,1936-11-27,51425.2
Barbara Riggs,Female,1956-10-20,47651.11
Kim Hudson,Female,1995-02-19,49481.68
John Murphy,Male,2021-09-20,26412.02
Melinda Harris,Female,1970-01-20,89915.25
Margaret Rose,Female,2001-02-04,68185.46
Harry Bennett,Male,1971-04-16,59061.06
Michelle Logan,Female,2005-08-06,45416.74
Douglas Williams,Male,1964-06-03,70964.71
James Burch,Male,1941-12-08,53197.0
Mr. Michael Lynch PhD,Male,2014-08-06,70418.75
Maria Sanford,Female,1977-12-17,60123.06
Wanda Thomas,Female,1954-03-19,42318.06
Christina Thompson,Female,1948-02-06,59527.34
Scott Peterson,Male,2008-07-22,89856.05
Tamara Bullock,Female,1960-05-06,69550.68
Nicole Haas,Female,2015-12-01,67150.3
Erika Ferguson,Female,2005-12-03,77411.24
Nathan Martin,Male,1976-06-30,66435.5
Rebecca Jones,Female,2007-02-17,49059.77
Alice Rodriguez,Female,1946-08-02,35262.2
Brandon Jacobs,Male,2022-09-27,42486.57
Daniel Turner,Male,2023-02-17,47950.77
Christina Bryan,Female,1940-01-23,91942.41
Lori Pacheco,Female,1958-06-10,60343.37
Ryan Lowe,Male,1973-08-18,57614.92
Linda Roberts,Female,2008-08-24,53205.44
Heidi Johnson,Female,1993-12-31,50766.23
Dustin Vincent,Male,1962-08-24,46233.74
Thomas Powell,Male,2004-12-13,59047.45
Steven Dixon,Male,1974-06-10,49020.12
Julie Sampson,Female,2022-03-09,48368.46
Tanya Bailey,Female,1965-11-29,57404.32
David Wells,Male,1962-12-26,62282.2
Michael Gonzales,Male,1963-02-21,51028.8
William Mendoza,Male,1976-05-17,85738.3
Scott Walker,Male,1934-02-28,52265.49
Amanda Strickland,Female,1955-06-09,63346.46
Louis Curry,Male,1994-08-10,57695.01
Laura Myers DDS,Female,1986-03-22,65371.82
Jennifer Garza,Female,2024-10-31,56845.94
Hannah Baird,Female,2014-11-17,64873.55
Nathaniel Becker,Male,1978-09-01,34775.78
Allison Allen,Female,2004-11-30,64171.06
Grace Williams,Female,1959-12-26,66588.96
Lindsey Williams,Female,1938-06-20,67108.85
Lauren Hall,Female,1951-03-13,30271.65
Ryan Wilson,Male,1941-06-06,74851.09
Bailey Johnson,Female,1963-09-23,46064.56
Sandra Higgins,Female,1974-12-24,75792.67
Robert Turner III,Male,1962-05-25,29896.5
Ruben Jackson,Male,2017-09-05,44250.93
Luke Campbell,Male,1991-02-17,54376.47
Lisa Elliott,Female,1996-02-08,55205.5
Billy Allen,Male,1984-06-19,65877.5
Laurie Mason,Female,1993-09-26,84323.14
Richard Snyder,Male,1960-04-17,35227.06
James Carlson,Male,1969-10-05,66738.18
Katherine Chapman,Female,2004-05-17,81413.35
David Johnson,Male,1958-11-06,82244.21
Sean Ramirez,Male,1998-01-17,59504.15
Maria Adams,Female,1937-09-18,58831.94
Alexander Jensen,Male,1957-04-26,43846.9
Devon Sanchez,Male,1961-03-09,62777.56
Jessica Porter,Female,1980-10-23,62723.3
Donna Wu,Female,2002-03-20,80331.69
Carrie Dougherty,Female,1978-04-03,49635.06
Tonya Zimmerman,Female,1982-03-27,51370.4
Alexandra Watson,Female,1941-11-13,81919.34
Matthew Bonilla,Male,1950-11-30,83487.79
Terry Cherry,Male,1949-01-17,53157.48
Jessica Matthews,Female,1984-12-18,55455.05
Karen Petersen,Female,1986-02-21,54110.53
Sandra Meyer,Female,1979-08-08,41715.28
Christina Ortiz,Female,1994-07-20,63514.49
Barry Vaughn,Male,1970-10-30,66582.14
Sean Lawrence,Male,1978-01-15,60822.68
Leah Cannon,Female,1955-10-31,57836.42
James Francis,Male,1968-02-03,64614.62
Patricia Smith,Female,2009-02-12,50210.48
Gregory Greene,Male,2017-11-22,64298.04
Richard Conley,Male,2008-04-07,55304.41
Michael Miller,Male,2023-03-01,55438.63
James Crawford,Male,1941-03-05,73846.03
Denise Sanchez,Female,2002-08-22,42180.93
Susan Bauer,Female,2009-06-07,89221.89
William Hernandez,Male,1979-05-05,44706.52
Marvin Flores,Male,1983-08-29,79293.78
Thomas Blair,Male,1939-05-08,38619.24
Jay Romero,Male,1952-09-17,71385.64
Ashley Perez,Female,1998-12-28,39075.12
Nicole Lee,Female,1991-02-09,78935.66
Joshua Benton,Male,1942-01-01,73942.17
Mary Sullivan,Female,2004-08-27,47806.49
Amy Harper,Female,1940-08-22,67661.2
Jonathan Ross,Male,1971-02-27,55919.98
James Cochran,Male,2020-09-03,54054.88
Mitchell Barrett,Male,2010-01-16,50168.68
Matthew Coleman,Male,2003-08-22,58840.51
Thomas Collins,Male,2014-05-20,46476.58
Frederick Patton,Male,1949-08-14,63043.55
Paul Collins,Male,1982-05-28,30913.36
Patrick Herrera,Male,1998-05-31,32000.76
Andrea Malone,Female,2002-02-05,45081.8
Matthew Hartman,Male,1938-04-15,69810.29
Cathy Patton,Female,1977-03-22,68490.75
Benjamin Pearson,Male,1984-03-10,62709.09
Roy Holmes,Male,1939-04-28,60626.84
Marvin Kerr,Male,1940-09-16,51807.69
Rachel Pittman,Female,2018-07-19,57165.14
Joshua Walker,Male,1955-06-08,47222.08
Kimberly Yang,Female,1961-10-16,53955.01
Michael Smith,Male,1948-01-12,86129.7
Melissa Williams,Female,1977-04-15,52990.99
Daniel Rodriguez,Male,2006-08-15,44389.53
Cindy Cox,Female,1993-12-14,89652.72
Pamela Wilson,Female,2023-07-11,77864.29
Molly Mullins,Female,1944-01-28,90174.31
Dennis Mckenzie,Male,1950-04-10,50959.2
Shane James,Male,1978-09-06,46473.97
Brian Scott,Male,1952-02-06,65839.28
Matthew Greene,Male,1973-08-13,56877.26
Justin Cross,Male,2014-03-26,61512.35
Aaron Rodriguez,Male,2007-08-24,60330.01
Kimberly Robles,Female,1948-02-09,43684.87
Matthew Brown,Male,1948-02-22,43550.44
Julie Sweeney,Female,1990-11-14,60507.22
Christy Smith,Female,1995-01-25,81975.79
Fred Roberts,Male,1937-04-14,49259.79
Jacob Huber,Male,2024-10-14,59760.47
Nancy Lopez,Female,1966-04-03,58049.07
Jose Lopez,Male,2005-02-19,45760.76
Jessica Miller,Female,1974-08-30,59582.68
William Bridges,Male,1949-05-27,37807.57
James Rice,Male,1989-03-17,47114.87
Brenda Day,Female,2000-09-15,77653.31
Kristen Arnold,Female,1999-11-02,49301.61
Jennifer Tran MD,Female,1943-07-08,86847.22
Mary Molina,Female,1989-12-04,44315.03
Ricardo Simpson,Male,1995-08-03,64769.68
Courtney Reyes,Female,1972-10-17,43700.24
Joshua Bonilla,Male,1959-08-01,37798.02
Rebecca Johnson,Female,2003-02-12,48963.54
Susan Ballard,Female,1955-12-17,54540.18
Henry Miller,Male,1958-11-27,45704.69
Marcus Ortiz,Male,2017-03-20,33773.43
Teresa Morrison,Female,1958-04-10,35715.64
Frank Carter,Male,1945-01-24,32748.48
Cristian Bishop,Male,1973-03-30,53950.4
Deborah Cross,Female,1941-06-19,56570.72
Tommy Zuniga,Male,1965-12-25,35720.65
Pamela Wall,Female,1978-03-26,64963.61
Tara Wright,Female,2014-11-08,28248.96
Dillon Daniels,Male,2013-09-25,59848.68
Nicole Bishop,Female,1979-09-05,64921.06
Andrea Schultz,Female,2015-02-17,60749.87
Teresa Molina,Female,1949-10-09,59175.74
Marvin Fowler,Male,1945-03-12,66893.16
Emily Haas,Female,1985-11-25,60475.17
Ronald Campbell,Male,1972-10-23,57718.03
Terri Snyder,Female,1935-02-19,34448.36
David Smith,Male,1996-11-12,86943.66
Gregory Pearson,Male,1966-11-28,65933.01
Sarah Miller,Female,1992-08-14,39882.53
Christine Werner,Female,2004-12-31,58163.22
Stephanie Frank,Female,1990-06-02,38569.79
Brittany Smith,Female,2016-11-08,82419.65
Sherry Edwards,Female,1973-02-26,63720.06
Olivia Barnett,Female,1968-08-18,65093.62
Heather Chan,Female,2008-12-19,54247.18
Edward Moore,Male,1954-09-29,69296.87
Peter Reese,Male,1957-03-15,56077.48
Evan Jones,Male,2006-07-23,57942.93
Blake Foster,Male,2024-06-03,71189.68
Wayne Olson,Male,2004-02-13,62969.9
Robert Garcia,Male,1940-02-06,54326.64
Rachel James,Female,1951-10-27,70742.41
Caroline Lewis,Female,1960-05-24,53630.04
Matthew Young,Male,1962-10-30,66135.55
Melissa Wilson,Female,1996-10-23,58713.1
Jody Salazar,Female,2013-04-06,90596.39
Jon Kelly,Male,1961-03-24,65163.04
Terri Kim,Female,2017-03-31,47405.21
Justin Torres,Male,1976-04-20,54773.96
Cheyenne Garrett,Female,1969-10-16,45302.75
Aaron Harris,Male,1935-06-01,58903.31
Roy Allen,Male,1951-06-07,64536.5
Bradley Taylor,Male,1996-02-21,65142.67
Jesse Andrews,Male,2001-11-30,50678.79
Roger Myers,Male,1987-11-08,74751.53
Emily Sharp,Female,1968-06-13,34517.99
Chad Stein,Male,1971-12-28,52429.18
James Lopez,Male,2014-09-28,74281.52
Nicholas Clark,Male,1947-03-06,74325.95
Terri Webb MD,Female,1996-11-11,28767.05
James Arroyo,Male,1943-03-06,68661.52
Cynthia Murphy,Female,1935-12-26,78786.14
Andrew Hansen DDS,Male,2006-01-11,42190.23
Connie Stone,Female,1963-08-15,54111.23
Andrea Barrett,Female,1939-07-28,70498.78
Jack Warner,Male,1947-09-21,71167.55
Christopher Tran,Male,1999-07-29,76879.6
Melissa Schultz,Female,1966-10-28,72043.32
Ronald Howard,Male,1993-09-24,23669.67
Grant Martinez,Male,2023-07-02,54237.51
Stephanie Mcfarland,Female,1954-03-07,60205.17
Stephanie Paul,Female,2001-12-03,57230.01
Ricky Thompson,Male,1997-04-05,62942.75
Steven Bishop,Male,1986-07-29,72076.06
James Perry,Male,2017-02-16,57964.9
William Williams,Male,2003-12-29,67486.18
Tyler Morgan,Male,1971-09-09,96242.78
Christopher Coleman,Male,1986-07-11,35099.95
Michael Kaufman,Male,1978-09-30,49574.99
Jacob Gay,Male,1940-06-09,47125.2
Patrick Schwartz,Male,1946-03-26,54233.26
Amber Gonzalez,Female,1943-04-11,67617.58
Tracie Buchanan,Female,1951-12-18,91897.53
Mary Ford,Female,1973-02-08,59700.0
David Mueller,Male,1948-07-29,63855.22
Heather Hammond,Female,1937-03-03,46702.1
Virginia Frazier,Female,1944-12-11,62157.14
Melissa Powell,Female,1998-06-28,53581.74
Edward Harris,Male,1953-03-15,32637.26
Melissa Collier,Female,1970-01-05,65987.87
Edward Willis,Male,1988-01-31,68645.53
Russell Griffin,Male,1934-01-18,20000.0
David Skinner,Male,1967-11-05,67103.24
Courtney Golden,Female,1948-05-08,60347.11
Paul Johnson,Male,1936-08-31,41340.74
Kimberly Henderson,Female,1942-02-04,60513.54
Joann Williams,Female,2020-10-21,49345.0
Amy Harris,Female,1956-04-05,43413.7
Melvin Woodward,Male,1983-04-27,80208.05
John Smith,Male,1975-05-18,46190.05
Ashley Lindsey,Female,2018-10-06,64700.42
Jessica Howell,Female,1969-11-15,67940.37
Todd Sharp,Male,1978-06-26,68651.85
Tina Adams,Female,1950-11-09,55589.77
David Moore,Male,1934-02-10,50173.77
Robin Lucas,Female,1936-11-04,53515.07
Carlos Jackson,Male,1948-05-16,67580.14
Keith Wilkinson,Male,1993-03-31,80130.05
Richard Wilson,Male,1985-12-27,75449.45
Michael Harris,Male,2014-12-24,38741.0
Phyllis Hale,Female,2024-08-25,20139.0
Justin Rivas,Male,2013-07-20,43143.56
Cassandra Richards,Female,1992-09-26,103261.76
Virginia Norris,Female,1935-11-17,66694.85
Maxwell Juarez,Male,1966-08-26,54264.45
Melinda Russell,Female,1972-09-20,28817.22
Maureen Garrett,Female,1962-05-19,29521.09
Zoe Miller,Female,2009-06-14,57163.14
Jason Dunn,Male,1961-01-05,62674.21
Karen Nelson,Female,1954-08-11,60539.97
John Hernandez,Male,2015-09-01,62769.85
Lori Wilson,Female,1935-10-25,48620.45
John Anderson,Male,1942-01-18,75092.56
Bruce Chambers,Male,1960-06-28,69205.61
John Garza,Male,1956-06-17,42825.94
Raymond Kim,Male,1939-02-20,55575.53
Victor Odom,Male,1944-11-21,69483.5
Jeffrey Martin,Male,1942-07-25,43876.0
Heidi Wilson,Female,1996-05-25,71295.55
Megan Cardenas,Female,1965-12-17,74299.96
Vanessa Le,Female,1988-06-15,58309.6
Kristen Thompson,Female,1937-10-04,67335.62
Brian Sutton,Male,1935-06-17,50689.56
David Roberts,Male,1992-07-27,71472.19
Abigail Moreno,Female,1961-11-18,76316.57
Kristina Herman,Female,1970-08-12,45657.31
Mary Patrick,Female,1984-09-15,81602.78
Thomas Brown,Male,2003-02-27,62232.02
Lisa Buchanan,Female,1990-06-23,49060.99
Angelica Hurley,Female,2023-08-25,67017.77
Angela Kaufman,Female,1995-10-02,42060.35
Jonathan Bell,Male,2010-01-31,45972.09
Devin Smith,Male,1970-03-10,47344.16
Jean Johnson,Female,1954-04-22,86056.71
Andrew Monroe DDS,Male,2011-03-26,50308.32
Richard Park,Male,1973-11-02,91563.3
Tanya Villanueva,Female,1937-04-15,68703.05
Mrs. Kimberly Stone,Female,1957-09-29,33082.0
Robert Davis,Male,1995-11-18,64190.02
Richard Hammond,Male,2011-06-21,90192.83
Antonio Dixon,Male,1947-03-09,30817.93
Angela Craig,Female,1944-11-17,78528.65
Jason Parker,Male,1941-03-28,63872.81
David Elliott,Male,1993-02-18,60334.08
Kristin Cunningham,Female,1978-11-24,38950.16
Joseph Orr,Male,2007-11-09,50620.21
Chad Berry,Male,1994-08-20,72928.62
Timothy Burton,Male,1980-09-15,47473.38
William Rich,Male,1955-09-15,69894.59
Taylor Ortega,Male,1989-02-01,76694.56
Michael Barnes,Male,1971-01-27,54526.09
Jennifer Davis,Female,2014-05-17,67263.24
George Hamilton,Male,1973-09-09,71636.64
Cody Turner,Male,1978-12-26,45882.69
Ann Andrade,Female,1966-08-17,52062.33
Benjamin Sanford,Male,1968-04-28,23400.7
Tracy Berger,Male,1955-12-16,43090.63
Elizabeth Murphy,Female,2016-10-12,65671.8
Janice Jennings,Female,1988-05-08,59719.2
Dave Barrera,Male,1957-09-05,58682.53
Ronald Scott,Male,1949-03-12,54707.06
Kimberly Johnson,Female,2015-08-02,52334.73
Jennifer Callahan,Female,1965-10-08,35229.26
Isabella Krause,Female,1941-12-12,52205.35
Mariah Fletcher,Female,2001-08-20,70675.82
Pamela Patterson,Female,1981-10-25,51997.75
Kimberly Sexton,Female,1954-03-08,62991.59
Elizabeth Francis,Female,1961-08-17,73718.11
Jeff Brown,Male,2021-04-24,61060.09
Casey Lopez,Female,1995-02-02,59269.77
Steven Davila,Male,1975-09-24,66786.82
Brandon Williams,Male,1966-04-27,55241.7
Dawn Pugh,Female,1933-12-15,62286.55
Jeffery Jacobs,Male,1948-03-07,56407.33
Mark Gibbs,Male,1997-05-07,80146.29
Justin Knight,Male,1934-10-05,79152.88
Seth Goodwin,Male,2014-06-04,44511.91
